item_code,sequence,propriete,valeur,unite,is_major,famille,sous_famille
100800165,1,TYPE,,,0,EL,EL-CO
100800165,2,ICM,,AMP,1,EL,EL-CO
100800165,3,TNB,,,0,EL,EL-CO
100800165,4,NBC,,Nos,0,EL,EL-CO
100800165,5,FAB,,,0,EL,EL-CO
100800166,1,TCP,,,0,EE,EE-CP
100800166,2,SIG,,,1,EE,EE-CP
100800166,3,RAC,,,0,EE,EE-CP
100800166,4,ALIM,,,0,EE,EE-CP
100800166,5,PLG,,,0,EE,EE-CP
100800167,1,TCP,,,0,EE,EE-CP
100800167,2,SIG,,,1,EE,EE-CP
100800167,3,RAC,,,0,EE,EE-CP
100800167,4,ALIM,,,0,EE,EE-CP
100800167,5,PLG,,,0,EE,EE-CP
100800168,1,TCP,,,0,EE,EE-CP
100800168,2,SIG,,,1,EE,EE-CP
100800168,3,RAC,,,0,EE,EE-CP
100800168,4,ALIM,,,0,EE,EE-CP
100800168,5,PLG,,,0,EE,EE-CP
100800169,1,TCP,,,0,EE,EE-CP
100800169,2,SIG,,,1,EE,EE-CP
100800169,3,RAC,,,0,EE,EE-CP
100800169,4,ALIM,,,0,EE,EE-CP
100800169,5,PLG,,,0,EE,EE-CP
100800171,1,TYPE,,,0,SE,SE-EC
100800171,2,PEN,,Watt,1,SE,SE-EC
100800171,3,TEN,,,0,SE,SE-EC
100800171,4,FOR,,,0,SE,SE-EC
100800171,5,FAB,,,0,SE,SE-EC
100800172,1,TYPE,,,0,SE,SE-EC
100800172,2,PEN,,Watt,1,SE,SE-EC
100800172,3,TEN,,,0,SE,SE-EC
100800172,4,FOR,,,0,SE,SE-EC
100800172,5,FAB,,,0,SE,SE-EC
100800179,1,TYPE,,,0,EL,EL-FU
100800179,2,CDP,,AMP,1,EL,EL-FU
100800179,3,TAI,,,0,EL,EL-FU
100800179,4,TEN,,,0,EL,EL-FU
100800179,5,FAB,,,0,EL,EL-FU
100800182,1,TYPE,,,0,EL,EL-FU
100800182,2,CDP,,AMP,1,EL,EL-FU
100800182,3,TAI,,,0,EL,EL-FU
100800182,4,TEN,,,0,EL,EL-FU
100800182,5,FAB,,,0,EL,EL-FU
100800186,1,TFM,,,1,EE,EE-CA
100800186,2,REF,,,0,EE,EE-CA
100800186,3,CONS,,,0,EE,EE-CA
100800186,4,ALIM,,,0,EE,EE-CA
100800186,5,VER,,,0,EE,EE-CA
100800187,1,TFM,,,1,EE,EE-CA
100800187,2,REF,,,0,EE,EE-CA
100800187,3,CONS,,,0,EE,EE-CA
100800187,4,ALIM,,,0,EE,EE-CA
100800187,5,VER,,,0,EE,EE-CA
100800188,1,TFM,,,1,EE,EE-CA
100800188,2,REF,,,0,EE,EE-CA
100800188,3,CONS,,,0,EE,EE-CA
100800188,4,ALIM,,,0,EE,EE-CA
100800188,5,VER,,,0,EE,EE-CA
100800189,1,TFM,,,1,EE,EE-CA
100800189,2,REF,,,0,EE,EE-CA
100800189,3,CONS,,,0,EE,EE-CA
100800189,4,ALIM,,,0,EE,EE-CA
100800189,5,VER,,,0,EE,EE-CA
100800190,1,TFM,,,1,EE,EE-CA
100800190,2,REF,,,0,EE,EE-CA
100800190,3,CONS,,,0,EE,EE-CA
100800190,4,ALIM,,,0,EE,EE-CA
100800190,5,VER,,,0,EE,EE-CA
100800194,1,TYPE,,,0,HY,HY-FL
100800194,2,DN,,,1,HY,HY-FL
100800194,3,LON,,Millimeter,0,HY,HY-FL
100800194,4,EMB,,,0,HY,HY-FL
100800194,5,PRE,,Bar,0,HY,HY-FL
100800195,1,TYPE,,,0,HY,HY-FI
100800195,2,SEU,,Micrometer,1,HY,HY-FI
100800195,3,RAC,,,0,HY,HY-FI
100800195,4,DEB,,,0,HY,HY-FI
100800195,5,FAB,,,0,HY,HY-FI
100800196,1,TYPE,,,0,HY,HY-FI
100800196,2,SEU,,Micrometer,1,HY,HY-FI
100800196,3,RAC,,,0,HY,HY-FI
100800196,4,DEB,,,0,HY,HY-FI
100800196,5,FAB,,,0,HY,HY-FI
100800197,1,TYPE,,,0,IN,IN-CP
100800197,2,PME,,Bar,1,IN,IN-CP
100800197,3,SIG,,,0,IN,IN-CP
100800197,4,RAC,,,0,IN,IN-CP
100800197,5,FAB,,,0,IN,IN-CP
100800199,1,TYPE,,,1,CS,CS-GC
100800199,2,GRA,,,0,CS,CS-GC
100800199,3,CND,,,0,CS,CS-GC
100800199,4,APP,,,0,CS,CS-GC
100800199,5,FAB,,,0,CS,CS-GC
100800200,1,TYPE,,,0,EL,EL-RE
100800200,2,TDCB,,,1,EL,EL-RE
100800200,3,CRT,,AMP,0,EL,EL-RE
100800200,4,NBC,,Nos,0,EL,EL-RE
100800200,5,FAB,,,0,EL,EL-RE
100800203,1,TFM,,,1,EE,EE-CA
100800203,2,REF,,,0,EE,EE-CA
100800203,3,CONS,,,0,EE,EE-CA
100800203,4,ALIM,,,0,EE,EE-CA
